15:52:59.006  192.168.42.98:自动分配端口失败, ret = -1
15:56:15.044  192.168.42.98:自动分配端口失败, ret = -1
15:57:32.741  192.168.42.98:自动分配端口失败, ret = -1
15:57:46.381  192.168.42.98:自动分配端口失败, ret = -1
15:58:25.796  192.168.42.98:自动分配端口失败, ret = -1
16:01:39.508  192.168.42.98:自动分配端口失败, ret = -1
16:04:29.775  192.168.42.98:自动分配端口失败, ret = -1
16:09:01.451  192.168.42.98:自动分配端口失败, ret = -1
16:10:56.682  192.168.42.98:自动分配端口失败, ret = -1
16:16:30.701  192.168.42.98:自动分配端口失败, ret = -1
16:16:55.154  192.168.42.98:自动分配端口失败, ret = -1
16:18:17.951  192.168.42.98:自动分配端口失败, ret = -1
16:20:17.608  192.168.42.98:自动分配端口失败, ret = -1
16:24:43.909  192.168.42.98:自动分配端口失败, ret = -1
16:29:36.744  192.168.42.98:自动分配端口失败, ret = -1
16:31:33.530  192.168.42.98:自动分配端口失败, ret = -1
16:33:52.587  192.168.42.98:自动分配端口失败, ret = -1
16:35:34.891  192.168.42.98:自动分配端口失败, ret = -1
16:37:02.231  192.168.42.98:自动分配端口失败, ret = -1
16:40:32.384  192.168.42.98:自动分配端口失败, ret = -1
16:42:24.142  192.168.42.98:自动分配端口失败, ret = -1
16:43:46.542  192.168.42.98:自动分配端口失败, ret = -1
16:48:06.080  192.168.42.98:自动分配端口失败, ret = -1
19:09:17.547  192.168.42.98:自动分配端口失败, ret = -1
